id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5370,Kepler-273 c,2329,4.58 Earths,15.1,2014
5371,Kepler-274 b,4350,2.99 Earths,15.238,2014
5372,Kepler-274 c,4350,4.04 Earths,15.238,2014
5373,Kepler-275 b,6636,6.08 Earths,15.289,2014
5374,Kepler-275 c,6636,11.4 Earths,15.289,2014
5375,Kepler-267 b,864,37.9 Earths,16.69,2014
5376,Kepler-267 c,864,5.18 Earths,16.69,2014
5377,Kepler-267 d,864,5.77 Earths,16.69,2014
5378,Kepler-268 b,2779,7.04 Earths,13.844,2014
5379,Kepler-268 c,2779,11.4 Earths,13.844,2014
5380,Kepler-269 b,7363,6.66 Earths,15.646,2014
5381,Kepler-269 c,7363,3.5 Earths,15.646,2014
5382,Kepler-26 b,1094,5.12 Earths,15.853,2011
5383,Kepler-26 c,1094,6.2 Earths,15.853,2011
5384,Kepler-26 d,1094,1.24 Earths,15.853,2014
5385,Kepler-26 e,1094,6.39 Earths,15.853,2014
5386,Kepler-270 b,3095,4.7 Earths,13.9,2014
5387,Kepler-270 c,3095,3.78 Earths,13.9,2014
5388,Kepler-271 b,1320,2.04 Earths,13.578,2014
5389,Kepler-271 c,1320,0.809 Earths,13.578,2014
5390,Kepler-271 d,1320,0.219 Earths,13.578,2016
5391,Kepler-272 b,2902,0.245 Jupiters,14.811,2014
5392,Kepler-272 c,2902,0.308 Jupiters,14.811,2014
5393,Kepler-272 d,2902,5.69 Earths,14.811,2014
5394,Kepler-273 b,2329,2.86 Earths,15.1,2014
5395,Kepler-273 c,2329,4.58 Earths,15.1,2014
5396,Kepler-274 b,4350,2.99 Earths,15.238,2014
5397,Kepler-274 c,4350,4.04 Earths,15.238,2014
5398,Kepler-275 b,6636,6.08 Earths,15.289,2014
5399,Kepler-275 c,6636,11.4 Earths,15.289,2014
5400,Kepler-267 b,864,37.9 Earths,16.69,2014
5401,Kepler-267 c,864,5.18 Earths,16.69,2014
5402,Kepler-267 d,864,5.77 Earths,16.69,2014
5403,Kepler-268 b,2779,7.04 Earths,13.844,2014
